Page,Image,Content
https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing,https://www.rustore.ru/help/assets/images/apps-cddfc2f77b771e46c27103f578b2bb20.webp,"©, Поиск в Ви$!оге

Рекоменду... Популярное Категории

На каждый день ›

ТепСПа!: больше,
чем соцсеть
Заводите связи и ч...

Те!едгат
Простое, быстрое и
№@ — безопасное прило...

Интересное Приложения Игры Профиль
"
https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing,https://www.rustore.ru/help/assets/images/349cca8340edad20f6c2560735a4b67f-af11e929c0cda29f10b6e0edca44ad83.webp,"со>
[<<»>]

е © ®

®

«

Кампании

Аудитории

Бюджет

Центр коммерции

Сайты

Мобильные приложения

Лид-формы

Настройки

Помощь

Свернуть

Фильтр @, Поиск

Кампании Группы Объявления

е

<

Создайте первую рекламную кампанию

Это не займёт много времени, попробуйте!

Создать кампанию

12 - 13 июл. 2023
"
https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing,https://www.rustore.ru/help/assets/images/8fb1c74f1ef1caece874d415452504cd-bba5374d1699976efa974f02bb9557d3.webp,"@о

На платформу «\/К Реклама»
можно войти через /К 1О Вход в «МК Реклама»

о — Единый аккаунт для сервисов УК \ Телефон или почта \

©З — ипартнёров
® Продолжить

@ Надёжная защита с привязкой

к телефону ЁЁ . 6

или с пПоМОоЩЬЮ

Нажимая «Продолжить», вы принимаете
пользовательское соглашение и политику
конфиденциальности

Передаваемые данные ›

Подробнее о УК 1р
"
https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing,https://www.rustore.ru/help/assets/images/featured-b58a4863db64d07df334e637265b4e5c.webp,")\| Поиск в Ви$!оге

Дро ТИнЬкоФФ
Ё оинвестиции

Доходы
— на высоте

Начнитехоть с-10Р

Тинькофф
Инвестиции Скачать
Реклама * 18+

Специальные события и акции
Новая рубрика

[ ©]
До 24 марта К ©] |

«ХХ век Ше Ве5\»

Книги со скидкой 40%

+ 66 23 ©

Интересное Приложения Игры Профиль
"
https://www.rustore.ru/help/developers/check-apk-signature,https://www.rustore.ru/help/assets/images/view-sha-256-apksigner-6819c0458d399f7ccfb8ee851310f933.webp,"аг+етёМасВоок-Рго-7 -/м/арК5> арк51дпег мег1у --рг1тё-сегё5 „/ехатр\е.арК.

$опег #1 сег41саке ОМ: С№-Оебио Апагоза, О-Апаго!а, С=Ш$

$1дпег #1 сег{1саке 5НА-256 @\де5ё: ейе11сс1950с69892325ЕРоаВа?с1152943а6?19еа7 14е249670З050395едЬ8.
$1дпег #1 сег4#1саке 5НА-1 «Ндезё: Тб2ез7Р7АЗОБВРОБ28сО421ВабаабЗ2иВЫСаВО

5%дпег #1 сег+1#1саке МО5 \десё: адсЗавеьЗ83876579375367 750925705`
"
https://www.rustore.ru/help/developers/check-apk-signature,https://www.rustore.ru/help/assets/images/view-sha-256-android-studio-03d3a513a1737185f2fc05cf72e41df9.webp,"Маг1ап*: даебудАпаго1аТез*

Соп*19: дебид

$+оге: /Цзегз/1д0г.Бобгоу/$Ъий1оРгоЧес+5 / гуиз+оге-ризй-саК/сег+ / йК- аебид. КеусФоге

А\1а5: апагозадйебидКеу

МО5: А@:С3:А8:ЕВ : 58 :38:76:57:93:Е5:36:7Е:В0:92:57:05

5НА1: 76:2Е:37:Е7:45:06:8Е:96:12:8С:04:21:8А:РА:Аб : 52 :08 : ВС:РА: 8В

5НА-256: ЕО:Е1:1С:С1:95:0С:69:8Е:92:52:5Е:РВ:А8:А7:С1:15:29:43:06:Р1:9Е:А7: 14 :Е2:49:67:03:05:03:95: Ер : В8
Ма\14 уп*11: понедельник, 2 июля 2046 г.

"
https://www.rustore.ru/help/developers/check-apk-signature,https://www.rustore.ru/help/assets/images/view-sha-256-keytool-a236ef08f6281c00f0047f628e875629.webp,"агкетёМасВоок-Рго-7 -/м/арК5> Кеубоо! -рг\тесег®
Ядпег #1:

Заг#11е „/ехатр\е.арк

СегейЯ{саке #1:
Омтег: С№-Оебид Апагот а, О-Апагота, С=Ш5
Твзиег: С№-Оерио Апаго1а, О-Апагола, -Ц5
5ег{а\ питьег: 67317089
маМа Егот: Тии ЭМА. 08 14;
Сегей{саке #пдегрг1те:

5НАТ: 76:2Е:37:

5НА?56: ЕО:ЕЛ:1С:
Ядпакшге а\дог{&т пате: 5НА25бнИЖНАЗА
5ир3есе Риб11с Кеу А1дог1&йт: 2048-Б$ В5А Кеу.
Мегз{оп: 3

:37 М5К 2021 ит41: Моп 21 02 14:01:37 М5К 2046

Ехкепе{оп5 :

#1: 0Буесьта: 2.5.29.14 СРЕЫ са 1 бу=Рай 5е
5ирзесскеутаетья Яег [

КеуТается Яег Г

е900: 17 РЕ РА ВА 23 8Е 2А ВВ — 92 9А 37 @7 27 СА 9А 4Е
03 42 ЕА СС

"
https://www.rustore.ru/help/developers/check-apk-signature,https://www.rustore.ru/help/assets/images/view-sha-256-c3f7d16c6ea4bb0472a203c945461513.webp,"Проекты › рго@ оо

10 проекта

\МАММВ25№= ннн и сЕеиииенйтшииы (Г

Отпечаток подписи $5НА-256
В4:74:02:45:29:Е5:89:А2:С2:Р6:Лнн е ош — < НЫ ОО аЕ Щ
РОЕ:61

Сервисные токены Создано: 1/5

НБх-т27И-Пообщве — Пообисти — Прпсеси о НП сНЕ ЕЕ
` {ТУГЛВМА ГЁ] @
"
https://www.rustore.ru/help/developers/developer-account/add-developer,https://www.rustore.ru/help/assets/images/c23b399b4f39d6b04d52be539283d2a6-7479a15aa105bfbfaa49961a783527f5.png,"Добавить разработчика

гРоВятЕЯ1

"
https://www.rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-account,https://www.rustore.ru/help/assets/images/f48953f40b538faac5ff0818a5fb8b8e-56bcca3735e4dcf57fe036df1e7a83d4.png,"В сервис «Ви${оге Консоль

Разработчика» можно войти через Вход в /К Ю
Укр

\ +7| \

о — Единый аккаунт для сервисов УК

©З — ипартнёров Продолжить

—›:] Быстрый вход в одно нажатие @
Создать новый аккаунт

Надёжная защита с привязкой
иЛлИ С ПОоМОЩЬЮю
к телефону

е @ ©Э с

Нажимая «Продолжить», вы принимаете
пользовательское соглашение и политику
конфиденциальности

Подробнее о УК 1р

Передаваемые данные ›
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-account,https://www.rustore.ru/help/assets/images/e4c532bf98f4e8412f3711a878011c13-c3650b9b29db9fc7661d99a76b3e931c.jpg,"Вход в Консоль

к) Войти через УК 10

Продолжая, вы принимаете соглашение о
распространении, пользовательское соглашение и
политику конфиденциальности
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-account,https://www.rustore.ru/help/assets/images/3b2817ac23b4b95b49cd678263b7af38-53ba82d84d64dc24c501e85954d4ddbf.png,"Дмитрий С.

Сменить аккаунт

Вы являетесь
владельцем компании
или разработчиком?
Если вы владелец компании создайте.

аккаунт. Рекомендуем не использовать
личный УК 10.

Если вы разработчик, то вам необходимо

передать свой МК 10 владельцу компании
и дождаться добавления.

Создать аккаунт
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-account,https://www.rustore.ru/help/assets/images/99d0f9478d4198ea1825ff6134d24185-5a7122a55c8b1781343a28e66955d36b.png,"+

Ваша заявка на регистрацию принята

Доступ в личный кабинет разработчика будет открыт
в течение нескольких суток. На указанный е-тай поступит
письмо о прохождении регистрации

Вернуться на главную
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-account,https://www.rustore.ru/help/assets/images/3fa3871518e70b80f9fab2ed6a40bc1b-d9d991f668f720af5a94f8a6b36f37c7.png,"Регистрация юридического лица

Информация о компании

Страна резидентства

Китай м

Торговое название (видно пользователям)

Ук

Юридическое название

укис

Налоговый или

регистрационный номер Телефон компании Адрес сайта
от 3 до 20 символов гчв'оге. сот
Контактное лицо
Имя Фамилия оОтчество (при наличии)
МК10 представителя ®) Телефон представителя!
785222546 +7 (909) 860-13-33

Е-тай представителя

е-тай@аддгев.сот

Документы
Пожалуйста, прикрепляйте документы на английском или русском языках

Ссылка на ваше приложение в альтернативных сторах (бооде Р1ау, Се!Аррз или Аррбайету)

Учредительный документ ©

Загрузите от 1 до 3 файлов размером не более 10 МВ.
Формат ООС, РОСХ, РОЕ, Р№С, ЗРС, ЭРЕС Выберите файл

Документ, подтверждающий право подписи представителя ©

Загрузите от 1 до 3 файлов размером не более 10 МВ.
Формат ООС, РОСХ, РОЕ, Р№С, ЗРС, ЭРЕС Выберите файл

Документ, подтверждающий право на доменное имя, логотип, товарный знак ©

Загрузите от 1 до 5 файлов размером не более 10 МВ.
Формат ООС, РОСХ, РОЕ, Р№С, ЗРС, ЭРЕС, Выберите файл

() Нажимая кнопку, вы принимаете соглашение о распространении, и политику:
конфиденциальности

Отправить на модерацию
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-account,https://www.rustore.ru/help/assets/images/4c435eb6756afba5279db17961c585ae-63fd6dec2732ae208d861b4e46ec4af0.png,"Платформа для ваших
Апаго@ приложений

Публикуйте свои игры и приложения
для миллионов пользователей Апаго!@ устройств

Войти в консоль Создать аккаунт

"
https://www.rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-account,https://www.rustore.ru/help/assets/images/b4cca486841b3a728ad792aac4cc3649-78534e6995f5ba3c5195c3ba020a45f0.png,"Создание аккаунта разработчика

Тип аккаунта

@ Юридическое лицо или ИП
Понадобится усиленная квалифицированная электронная подпись и «плагин КриптоПро»

Физическое лицо
Потребуется удалённая верификация личности. Доступно только для резидентов России
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration-fl,https://www.rustore.ru/help/assets/images/808c643cbaeb82b2e5da19b67b800669-37c504d594711bf9047f8feb482d21d3.jpg,"Верификация личности

Удостоверение личности

УДОСТОВЕРЕНИЕ ЛИЧНОСТИ

н Россия

рузите фотографию паспор

развернутом виде. Снимок до

+ светлым и Четким (хорошее качество

+ необрезанным (сидны ос углы документа).

Загрузить документ ^

() пеоеотноть на телефоне
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration-fl,https://www.rustore.ru/help/assets/images/47037dae7449158f96cbbd06b4cee776-573bdde1cc8075fa5094377d26faa596.jpg,"Создание аккаунта разработчика

Для создания аккаунта разработчика компании не рекомендуем использовать личный К 10

Юридическое лицо
Понадобится усиленная квалифицированная электронная подпись и плагин «Криптопро»

®) Физическое лицо
Потребуется удаленная верификация личности
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration-fl,https://www.rustore.ru/help/assets/images/416ac3d432203397c70c46a18fc5b6e8-a55728f4819b9bcf59e2ea17192be3b9.jpg,"Дмитрий С.

Сменить аккаунт

Вы являетесь
владельцем компании
или разработчиком?
Если вы владелец компании СОЭДВЙТе

аккаунт. Рекомендуем не использовать
личный УК 0.

Если вы разработчик, то вам необходимо

передать свой УК 10 владельцу компании
и дождаться добавпения.

Создать аккаунт
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration-fl,https://www.rustore.ru/help/assets/images/2fe93ddd04eadba76dc08bffaa725aea-95733b1e61c3f6c97f23e17e9344ef0a.jpg,"Регистрация физического лица

Контакты

@ Нажимая кнопку «Верифицировать личность», вы даете согласие на удаленную верификацию
личности

Верифицировать личность
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration-fl,https://www.rustore.ru/help/assets/images/cea6b36ed90fd7ecf73e9692e4e6f3e0-623c291a1b0ac546f8b9616a022e59e4.jpg,"к Д»]

В сервис «Вибгоге Консоль

Разработчика» можно войти через
Ук

Единый аккаунт для сервисов УК.

ё
и партнёров

-›З Быстрый вход в одно нажатие

Ё] Надёжная защита с привязкой
к телефону

Подробнее о УК 1О

Вход в /К1Р

+7

Создать новый аккаунт

или с помощью

88 Я) ©Э

Нажимая «Продолжить», вы принимаете пользовательское
соглашение и политику конфиденциальности

Передаваемые данные
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration-fl,https://www.rustore.ru/help/assets/images/1133f41a19a40995691a31cfec1a9418-2508810a86fc24105f744a4a1c92b8ed.jpg,"Верификация личности

СЕЛФИ

Посмотрите в камеру. Сделайте легкое
вращательное движение головой по кругу — и всё!

НАЧАТЬ

Назад
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration-fl,https://www.rustore.ru/help/assets/images/55d617698bbd8a828224f324a2f2eb63-a5a9d952378e4b5d66e9df1665ef0420.jpg,"Верификация личности

Начнем верификацию

Чтобы пройти верификацию, понадобится действительный документ,
удостоверяющий личность.

Также вам необходимо будет согласиться на обработку нами ваших персональных

данных

Пожалуйста, следуйте инструкциям после принятия наших условий.

Я даю согласие на обработку моих персональных данных в соответствии ©
Политикой конфиденциальности.

УЮЩИЙ ШАГ

Назад
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration-fl,https://www.rustore.ru/help/assets/images/2352ea41ec9cd815d89e5ab7fa682e77-64af8c720efbd850e6993e6ed8a4bbe4.jpg,"Верификация личности

ПРОВЕРКА ЗАВЕРШЕНА

Отлично! Ваши документы подтверждены.

Закрыть
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration,https://www.rustore.ru/help/assets/images/ec099fc72e38e8b3f4d1f186c983d577-2e1e81d15e145ed47942c394fec8bdd7.jpg,"Регистрация юридического лица

@ Для продолжения регистрации вам нужен плагин «КриптоПро» и актуальный сертификат
электронной подписи

Информация о компании

Торговое название (видно пользователям)

Ук

Юридическое название (необязательно)

000 Вк

ИНН компании (или ИННИП) Адрес сайта

10 или 12 символов. гивтоге.ги

Контактное лицо

Фамилия Имя Отчество

Романов Александр Павлович

уко © Телефон

000999000 +7 999 876-54-32

Е-тай

е-тай@адагез5.ги

Вышлем письмо подтверждения регистрации

() Нажимая кнопку «Подписать», вы принимаете соглашение о распространении, и политику
конфиденциальности
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration,https://www.rustore.ru/help/assets/images/ad7816f43330fd6d7bc903ba9b671ec9-fc737cf7a13779bb9e6b7eba9b322d41.jpg,"Создание аккаунта разработчика

Для создания аккаунта разработчика компании не рекомендуем использовать личный УК 1О

®) Юридическое лицо.
понадобитяусиленная коалифицированная электронная тедпись н плагин «КриттоПро-

Физическое лицо!
Петребуется удаленная верификация личности
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration,https://www.rustore.ru/help/assets/images/b7570186dade12aafbe8fbfeb3035174-e146e52b4a08f2ab54b5edf2847d2515.webp,"Не найдена электронная подпись

Чтобы правильно идентифицировать компанию

и открыть доступ в личный кабинет разработчика
Ви${1оге, нужна усиленная квалифицированная
электронная подпись компании.

Скопируйте ссылку для подписи и отправьте
сотруднику, у которого есть ЭП. Это может быть
главный бухгалтер, генеральный директор или
сотрудник кадровой службы.

() Установить и проверить работоспособность
плагина «КриптоПро ЭЦП» вы можете
по инструкции. Если вы не смогли подписать
данные, свяжитесь с нами

Закрыть ровать ссылку для иС

"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration,https://www.rustore.ru/help/assets/images/416ac3d432203397c70c46a18fc5b6e8-a55728f4819b9bcf59e2ea17192be3b9.jpg,"Дмитрий С.

Сменить аккаунт

Вы являетесь
владельцем компании
или разработчиком?
Если вы владелец компании СОЭДВЙТе

аккаунт. Рекомендуем не использовать
личный УК 0.

Если вы разработчик, то вам необходимо

передать свой УК 10 владельцу компании
и дождаться добавпения.

Создать аккаунт
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration,https://www.rustore.ru/help/assets/images/b9f7a351dd01223ea9a9945854c4b8c4-2839f8fd2482b499cd61f01de0885668.webp,"Усиленная квалифицированная
электронная подпись компании

Выберите сертификат

Выберите сертификат `
"
https://www.rustore.ru/help/developers/developer-account/registration-developer/registration,https://www.rustore.ru/help/assets/images/cea6b36ed90fd7ecf73e9692e4e6f3e0-623c291a1b0ac546f8b9616a022e59e4.jpg,"к Д»]

В сервис «Вибгоге Консоль

Разработчика» можно войти через
Ук

Единый аккаунт для сервисов УК.

ё
и партнёров

-›З Быстрый вход в одно нажатие

Ё] Надёжная защита с привязкой
к телефону

Подробнее о УК 1О

Вход в /К1Р

+7

Создать новый аккаунт

или с помощью

88 Я) ©Э

Нажимая «Продолжить», вы принимаете пользовательское
соглашение и политику конфиденциальности

Передаваемые данные
"
https://www.rustore.ru/help/developers/developer-account/user-roles,https://www.rustore.ru/help/assets/images/edit-role-1c915ce2752b54820445069cf3c57e27.webp,"Редактировать роль

° Иван Сидоров

Роль в системе

Разработчик ©
Текущая роль

О Финансовый менеджер ©
О Релиз-менеджер ©
О Специалист поддержки ©

О Администратор ©

Отмена Изменить
"
https://www.rustore.ru/help/developers/developer-account/user-roles,https://www.rustore.ru/help/assets/images/f6879866043f5e0c8a4eec6670834387-9b88da99e282fdff8ea6338e0181a09e.png,"Удалить пользователя Иван
Сидоров?

Пользователь потеряет доступ к приложению и будет

удален
отмена
"
https://www.rustore.ru/help/developers/developer-account/user-roles,https://www.rustore.ru/help/assets/images/user-roles-fa9e041f089cccc20f522d2038ff729d.png,"‘ласить пользователя

МК10 пользователя

Например, 000999000

Роль в системе:
Разработчик ©
Финансовый менеджер ©

Релиз-менеджер ©

Специалист поддержки ©

Администратор ©

Пригласить

"
https://www.rustore.ru/help/developers/developer-account/user-roles,https://www.rustore.ru/help/assets/images/a3bb6d46c63fa6f15de3ab4b6cada5ce-9d7fd2cdf1d044e89a253f68e963e96e.png,"() виб'оге Консоль Приложения — Компания ооочвю - @

<° арииясеияо Доступы

Подробнее о ролях в системе для приглашенных пользователей 71
. Маруся

© Информация

Имя пользователя Роль в системе

С Версии

# Доступы а Иван Сидоров Разработчик х
© Отзывы

« Статистика

по приложению.

® Продвижение
» Монетизация выа

» Ризй-уведомления выа

Продвинуть приложение 7'

Заработать на рекламе 7'

@) готово! Иван Сидоров приглашен(а)

Конфиденциальность — Соглашение о распространении — Написать в поддержку
"
https://www.rustore.ru/help/developers/developer-account/user-roles,https://www.rustore.ru/help/assets/images/2e6dae7fbab03f48ba5997f5e800c42a-9c75906b00f91c1956096d1492f42f9f.png,"() виб'оге Консоль Приложения — Компания ооочвю - @

<° арииясеияо Доступы

Подробнее о ролях в системе для приглашенных пользователей 71
. Маруся

© Информация

Имя пользователя Роль в системе

© Версии

в

Доступы

о)

Отзывы

®

Статистика
по приложению.

® Продвижение

» Монетизация ве.

» Ризй-уведомления выа

Продвинуть приложение 7'

Заработать на рекламе 7'

Пользовательское соглашение — Для разработчиков — Конфиденциальность — Соглашение о распространении — Написать в поддержку
"
https://www.rustore.ru/help/developers/developer-statistics/monetization-stat,https://www.rustore.ru/help/assets/images/da2c23c53f0d8be4246c9dddd5464b6e-caf5d792deb4eb131ddfed93dec2ecda.webp,"ш ВКи$!оге Консоль

Маруся
1215152

[0]

Версии

®

Доступы

Отзывы

а о

Продвижение

[

Статистика по приложению.

©

Карты и геосервисы — ве\а
@ АР! Виб1оге веш
® Монетизация Ве
© Подписки

° Разовые покупки

© Управление платежами

* Статистика
по платежам

® Ризн-уведомления. ега

$ Проекты

©® Статистика по Риз\-
уведомлениям

Продвинуть приложение 7'

Заработать на рекламе 7'

Конфиде

Приложения — Компания

( Монетизация приложений работает в режиме тестирования. Если возникли трудности, напишите в поддержку

Статистика по платежам

Доходы
Транзакции
Тип.
Подписки 7
Разовые покупки 4
С==то Данные отображаются за период

Проценты от дохода

Тип
Подписки 13%
Разовые покупки 87%
Суммы, Р
Тип. Вч
Подписки 1 799, 00
Разовые покупки 1 400, 00
Всего 3199, 00
Возвраты
Транзакции
Тип
Подписки 0
Разовые покупки 0
Всего 0

Проценты возвратов от общего дохода

Тип.

Подписки 0%
Разовые покупки 0%

Суммы, Р

Тип

Подписки 0
Разовые покупки 0
Всего 0

‘оглашение о распространении — Написать в поддержку

с 00:00 по 23:59 предыдущего дня

7 дней

14

22

7 дней

27%

73%

7 дней

2.400, 00

1 800, 00

4.200, 00

7 дней

7 дней

0%

4%

7 дней

499, 00

499, 00

30 дней

31

16

47

30 дней

60%

40%

30 дней

4199, 00

3 200, 00

7 399, 00

30 дней

30 дней

0%

4%

30 дней

499, 00

499, 00

000 «ВК» >

Всё

52

28

80

Всё время

67%

33%

Всё время

8 398, 00

6.400, 00

14 798,00

Всё время

0%

4%

Всё время

499, 00

499, 00

псйл

Епоней
"
https://www.rustore.ru/help/developers/developer-statistics/push-notification-stat,https://www.rustore.ru/help/assets/images/75ab2dd24c83cdc01faffb9468ed4786-a5d3a4d697385edf77734749153a7ece.webp,"ш Ви$Юоге Консоль

<- Кприложениям

Маруся

С Версии
28 Доступы
© отзывы

©® Статистика
по приложению.

® Продвижение

» Монетизация Вега

т Риз-уведомления — Веш
® Проекты

«^ Статистика по Риз\-
уведомлениям

Продвинуть приложение 7'

Заработать на рекламе 7'

Пользовательское соглашение — Конфиденциальность — Согла

Приложения — Компания

() Риз!-уведомления работают в режиме тестирования. Если возникли трудности, напишите в поддержку

Статистика по Ризп-уведомлениям

Стату Вчера © {5

@аорЕсист Данные отображаются за период
© 00:00 по 23:59 предыдущего дня

Доставлено 138

Перешли в приложение — 94

ение о распространении — Написать в поддержку

Черновик

Неделя

Месяц

Всё время

145

138

94

000 «ВК» >

Ф® в0 х
"
https://www.rustore.ru/help/developers/developer-statistics/versions-download-stat,https://www.rustore.ru/help/assets/images/4695a902912eb0f463a521a95405d9c3-a00537866ef8f477d11b71210b9f57c7.webp,"Компания

ш ВКи$Юоге Консоль Приложения

© Информация

Просмотры и установки

С Версии
28 Доступы и
© оОтзывы

За всё время
<©0 Продвижение
«# Статистика по приложению
® Карты и геосервисы — веа По модели устройства
@ АР| Вибоге вю

Модель устройства 47
® Монетизация веа

батзипа Са1аху $22 Р1из ..
» Рисёуведомления веа

батзипа Са!аху А5З

Сооде Рахе! 6

ОпеРшз 10 Рго

батхипа Са!аху 522 Ига

По версии О$ Апагой@

Версия ОС т

12.1 $пом Сопе

11 Ве УеМе! Саке:

10 @иееп Саке

8.1 Отео

продвинуть приложение 7 6 Магебтайом/

Заработать на рекламе 7'

Конфиде

аспространении

000 «ВК» ‹

Статистика по приложению с момента прохождения модерации первой версии

Уни Уникальные пользователи

на экране в приложении

альные пользователи
Пользователей установило

ранице приложения в вебе

367 836 518

ьзователей установило 17 Процент от всех установок {

151 30%
110 20%
90 18%
60 12%
51 10%

Смотреть всё

ьзователей установило 17 Процент от всех установок {

265 50%
121 24%
60 12%
4 8%
30 6%

Написать в

"
